topic_id,topic_name,sentiment,business_category,sub_issue,merge_group,review_count,percentage,average_score,total_thumbs_up,top_keywords,sample_reviews
10,Lambat Instagram Lebih,netral,Performa Aplikasi,Aplikasi terasa lambat dan kurang responsif,PERFORMANCE_BUG,43,2.86,3.0,4,"lambat, instagram, lebih, agak, membingungkan, responsif, live, berat, aplikasi, cepat",lemot | lemot | lemot
11,Eror Sering Terlalu,netral,Stabilitas Sistem,Aplikasi sering mengalami error,SYSTEM_ERROR,38,2.52,3.0,57,"eror, sering, terlalu, update, keseringan, aplikasi, banget, out, aplikasinya, di",Aplikasi sering eror | aplikasi sering eror | Aplikasinya sering eror
12,Lelet Banget Lambat,netral,Performa Aplikasi,Aplikasi mengalami delay dan sangat lambat,PERFORMANCE_BUG,31,2.06,3.0,7,"lelet, banget, lambat, parah, delay, aplikasinya, parahhh, allah, kesel, gara",Lemot bgt | Lemot banget | Lemot banget
13,Update Dikit Mulu,netral,Manajemen Pembaruan,Frekuensi pembaruan aplikasi terlalu sering,UPDATE_ISSUE,30,1.99,3.0,6,"update, dikit, mulu, meminta, buat, tiap, makin, kebanyakan, error, berat",kebanyakan update sering bgt abis di update minta update lg 😒 | minta di update Mulu. bikin males aja | terlalu sering update sih.. sebel tiap kali mau dpake update terus
14,Rokok Bisa Enggak,netral,Transaksi dan Pembayaran,Kendala saat melakukan transaksi atau pendaftaran,TRANSACTION_ERROR,27,1.79,3.0,14,"rokok, bisa, enggak, input, tidak, min, bisa2, jual, produk, voucher","aplikasi g bsa daftar | Gangguan yaa, gak bisa transaksi? | gak bisa pakai spaylatter"
15,Ongkir Gratis Ongkirnya,netral,Promosi dan Biaya,Keluhan mengenai syarat minimal belanja gratis ongkir,PROMO_ISSUE,21,1.39,3.0,2,"ongkir, gratis, ongkirnya, minimal, merah, pakai, free, belanja, kena, ternyata","Sayang harus ada belanja minimal 100rb untuk gratis ongkir | Di Alfa aja gratis ongkir, masa indomaret bayar ongkir 😅 | Ditempatku kena biaya ongkir, kalok pakek Alfamart padahal gratis ongkir. 🥲"
16,Harga Toko Sama,netral,Harga dan Produk,Perbedaan harga antara aplikasi dan toko fisik,PRICE_DISCREPANCY,19,1.26,3.0,19,"harga, toko, sama, dengan, berbeda, kecewa, beda, di, langsung, ditoko","harga promo di aplikasi tidak sama dengan di toko padahal masih di jawa,.. jadi ya begitulah. KECEWA, sdh biasa kl belanja disini,. | belanja tapi harga di aplikasi dan toko beda.. lumayan bedanya.. kecewa | kecewa harga ditoko lebih mahal Sama di aplikasi berbeda dan lemot aplikasinya"
17,Login Nomor Akun,netral,Akses Akun,Kesulitan saat proses login atau masuk akun,LOGIN_ERROR,18,1.2,3.0,23,"login, nomor, akun, masuk, hp, sudah, no, tetap, kali, coba","login untuk masuk nya susah dan lama cuman muter"" doang tolong lah dipermudah dan benerin cara login nya. saya udah bikin akun pengen masuk lagi engga bisa"" | hampir 3x saya masuk log in d akun saya tpi tetap ada masalah infonya sandi salah padahal.sdh mengikuti dr arahan wa sistem indomaretnya ,tolong lah lebih baik lagi ya dan efisiensi | Saya udah nyoba berkali kali buat coba bikin akun, tapi ko gabisa terus ya? Udah coba pake email atau no hp tapi tetep gabisa, katanya passwoardnya salah, kira kira kenapa ya?"
18,Lebih Tampilan Ribet,netral,Pengalaman Pengguna,Tampilan baru aplikasi dianggap lebih rumit,UI_UX_ISSUE,17,1.13,3.0,10,"lebih, tampilan, ribet, yang, sebelumnya, lama, mudah, fair, jalankan, enak","versi lama lebih mudah,klik yg baru sistem sering error | Maaf lebih suka tampilan yg sebelumnya, yg terbaru malah lebih ribet. Sering update juga | Lebih Suka dengan tampilan yang lama.di update malah jdi lama loading nya"
19,Terlalu Berat Loading,netral,Performa Aplikasi,Aplikasi terasa berat dan loading lama,PERFORMANCE_BUG,15,1.0,3.0,7,"terlalu, berat, loading, membantu, makin, sangat, al, dipakai, rumit, tapi","Aplikasi lambat, terlalu banyak loading. Lagipula tidak efisien dipisah dengan aplikasi poinku | aplikasi sangat membantu tapi terlalu sering update | Aplikasi terlalu berat sehingga bikin lemot ketika dipakai"
20,Semoga Lagi Dikembangkan,netral,Performa Aplikasi,Aplikasi terasa lambat dan memerlukan optimasi performa,PERFORMANCE_BUG,15,1.0,3.0,4,"semoga, lagi, dikembangkan, dicoba, lebih, baik, upgrade, lambat, sekali, dulu","Fungsinya bagus banget tapi app nya lemot. Semoga lebih baik lagi | Semoga setelah di upgrade gak lola lagi yaaaaa | Aplikasi lemot sekali, Semoga ada perbaikan, karena tujuanya untuk memudahkan."
21,Keranjang Muncul Super,netral,Performa Aplikasi,Pencarian produk lambat dan sering terjadi gangguan sistem,PERFORMANCE_BUG,14,0.93,3.0,15,"keranjang, muncul, super, gangguan, mencari, produk, lambat, saat, belanja, menu","Aplikasi super lemot dan stok produk di aplikasi tidak update. | Belanja mudah, hanya saja aplikasi lemot dan meski di update tidak ada peningkatan | Semenjak update pencarian produk yang muncul sangat lambat dari sebelumnya & sering gangguan sistem muncul terus. Mohon perlu ditingkatkan lagi 🙏."
22,Online Belanja Untuk,netral,Pengalaman Pengguna,Ulasan positif mengenai kemudahan belanja online,USER_EXPERIENCE,14,0.93,3.0,13,"online, belanja, untuk, rumah, tebo, teman, tangga, kagak, cukup, kebutuhan","cukup memudahkan untuk belanja online | Pelayanan yg sudah cukup baik untuk belanja online kebutuhan rumah tangga,. aplikaai lemooot | Belanja hemat promo murah meriah pagi dan anda bisa pesan online TDK ribet TDK perlu berdesakkan buka Alpkasi google play store klik"
23,Batalkan Pengiriman Melebihi,netral,Layanan Pengiriman,Pembatalan pesanan sepihak dan keterlambatan pengiriman,DELIVERY_ISSUE,13,0.86,3.0,18,"batalkan, pengiriman, melebihi, pesanan, tiba, waktu, jelas, konfirmasi, ditentukan, tanpa","pengiriman suka di batalkan tiba2.. saat jam pengiriman sudah hampir habis. tanpa konfirmasi. tolong perbaiki lagi. | pengantaran selalu terlambat, sampe 2 jam pesanan ga diantar | pesanan seriing dibatalkan.. tidak jelas alasannya padahal stock barang pas milih masih ready"
24,Poinku Indomaret Klik,netral,Integrasi Sistem,Integrasi antar aplikasi dan sinkronisasi data produk,INTEGRATION_ISSUE,11,0.73,3.0,9,"poinku, indomaret, klik, ketoko, pemotongan, terkumpul, ditarok, terpakai, isaku, di","Bisakah aplikasi klik Indomaret, poinku dan isaku jadi satu aplikasi saja. Kadang mau salin kode voucher harus buka dulu di aplikasi poinku terus balik lagi ke klik Indomaret. Mohon perbaiki lagi. | Beberapa hari terakhir sampai sekarang kok gak bisa dibuka ya klik indomaret, udah uninstal aplikasi & instal ulang masih gak ada tampilannya. Padahal aplikasi indomaret poinku lancar² aja, apa beda pengelolanya? | belanja makin mudah dengan klik Indomaret tolong dong kalo scan barang masa keterangan barang belum tersedia di klik Indomaret maksudnya gimana sih"
25,Pembayaran Kupon Pembatalan,netral,Fitur Pembayaran,Permintaan penambahan metode pembayaran dan fitur pembatalan,PAYMENT_FEATURE,10,0.66,3.0,3,"pembayaran, kupon, pembatalan, metode, sytem, sia, dana, dong, cod, via","tolong kasih pembayaran via DANA. | Tolong ditambahkan fitur pembatalan pesanan. | Tolong di dong, biar ada opsi pembatalan orderan untuk pelanggan. Terima Kasih"
26,Pengantaran Lama Terlambat,netral,Layanan Pengiriman,Durasi pengiriman barang yang terlalu lama,DELIVERY_ISSUE,10,0.66,3.0,5,"pengantaran, lama, terlambat, pengiriman, alikasi, trial, kerap, ditingkatakan, terlalu, konsisten","pengiriman terlalu lama | Pengantaran agak lama.. | Pengiriman lama, :("
27,Jaya Selalu Bermasalah,netral,Performa Aplikasi,Keluhan umum mengenai masalah teknis aplikasi,PERFORMANCE_BUG,7,0.46,3.0,0,"jaya, selalu, bermasalah, tampilan, ket, berusaha, daerahku, bagia, pengiriiman, percaya",selalu bermasalah | bagia selalu | Terus berusaha
28,Suka Ngelag Masih,netral,Performa Aplikasi,Aplikasi sering mengalami lag atau kendala teknis,PERFORMANCE_BUG,6,0.4,3.0,0,"suka, ngelag, masih, ngelegggg, sukanya, midi, ngebag, alpa, ngeleg, estimasi",Masi suka ngeleg | Masih suka ngebag | suka ngelag ngelag
-1,Bapuk Promosinya Banyak,netral,Lain-lain / Noise,Ulasan umum/noise,OVERALL_SATISFACTION,2,0.13,3.0,0,"bapuk, promosinya, banyak, aplikasi, , , , , , ",aplikasi bapuk | banyak promosinya
