topic_id,topic_name,ai_sentiment,business_category,sub_issue,comment_count,percentage,total_likes,total_replies,top_keywords,sample_comments
10,Selalu Amin Semoga,Positif,Apresiasi Konten,Dukungan dan doa baik dari audiens untuk UNSIA.,128,2.6,138,47,"selalu, amin, semoga, sukses, semangat, unsia, terus, sehat, kasih, terima","Wah , aamiin Kak. Semangat selalu untuk kuliahnya yaa🤗 | Aamiin, semoga Kakak juga bisa merasakan wisuda ya, semangat selalu untuk Kakak😊 | Wah, ada alumni UNSIA nih. Sukses selalu untuk Kakak yaa🤩"
11,Terima Kasih Salam,Positif,Apresiasi Konten,Ucapan terima kasih atas informasi yang diberikan.,121,2.46,92,8,"terima, kasih, salam, infonya, ditunggu, bu, mantap, wah, tunggu, kenal","baik, terimakasih infonya KA🙏 | terima kasih infonya kakk🤍 | oh makasih kaaaa"
12,Umur Yang Semangat,Negatif,Keluhan Pengalaman Belajar,Diskusi mengenai beban tugas kuliah dan kesulitan akademik.,91,1.85,194,83,"umur, yang, semangat, batasan, muda, tugas, usianya, belajar, sudah, berpengalaman","WKWKW Kak pasti lelag banget ya di Ut, tugas sekarang ga ngotak banget😭 | sama Lagi aku udh di smster 10 malah blm lulus2🤣.udh capek maksimal | aku bingung antara UT sma unsia, liat review mahasiswa UT ngeluh banyak tugas akhirnya aku Daftar ksini, menyesuaikan kapasitas diri aja cari aman soalnya kerja full-time 😭"
13,Info Bagaimana Cara,Netral,Pertanyaan Pendaftaran,Permintaan informasi mengenai tata cara pendaftaran.,90,1.83,92,100,"info, bagaimana, cara, daftarnya, caranya, link, min, nya, kuliahnya, kak",tutor daftar nya kak | cara daftar nya kak | cara daftar nya kak
14,Dicicil 3Jt Biaya,Positif,Informasi Biaya Kuliah,Informasi mengenai biaya UKT per semester.,88,1.79,41,32,"dicicil, 3jt, biaya, hanya, ukt, persemester, juta, 3x, semester, per","Hi Kak, untuk UKT hanya 3jt persemester lhoo🤩 | Hi Kak, untuk UKT hanya 3jt persemester lhoo🤩 | Hi Kak, untuk UKT hanya 3jt lho persemester"
15,Dimana Daerah Pjj,Netral,Pertanyaan Lokasi Kampus,Audiens menanyakan lokasi fisik kampus Universitas Siber Asia.,82,1.66,27,49,"dimana, daerah, pjj, mana, apa, lokasi, itu, kak, lokasinya, nih",daerah mana kak? | unsia itu dimana kak | lokasi dimana kak?
16,100 Tugas Skripsi,Positif,Informasi Metode Pembelajaran,Penjelasan mengenai sistem perkuliahan 100% full online learning.,67,1.36,415,57,"100, tugas, skripsi, akhir, learning, online, fully, hi, full, karena","Hi Kak, bisa dong karena UNSIA 100% full online learning🤗 | Hi hi Kak, bisa banget dong. Karena UNSIA 100% full online learning🤩 | Halo Kakak, bisa banget dong karena UNSIA 100% full online learning"
17,Informasi Informatika Akuntansi,Netral,Informasi Program Studi,Daftar program studi yang tersedia di Universitas Siber Asia.,56,1.14,46,17,"informasi, informatika, akuntansi, sistem, komunikasi, manajemen, memiliki, prodi, yaitu, teknologi","Halo Kak, UNSIA memiliki 5 prodi ya yaitu Komunikasi, manajemen, akuntansi, sistem informasi, dan informatika | Hi Kakak, di UNSIA memiliki 5 prodi lho, ada Akuntansi, Komunikasi, Manajemen, Sistem Informasi, dan Informatika🤗 | Hi Kakak, di UNSIA memiliki 6 prodi yaitu akuntansi, komunikasi, manajemen, sistem informasi, informatika, dan teknologi informasi😊"
18,100 Universitas Siber,Positif,Informasi Pendaftaran,Promosi sistem pembelajaran online dan tautan pendaftaran resmi.,56,1.14,60,9,"100, universitas, siber, asia, online, unsia, fully, ac, id, pmb","KAK, UNSIA 100% full online🤗 | UNSIA 100% full online Kakak🤗 | Kesini ka pmb.unsia.ac.id"
19,Jalur Konversi Melalui,Netral,Pertanyaan Jalur Masuk,Konfirmasi mengenai ketersediaan jalur konversi bagi calon mahasiswa.,54,1.1,21,4,"jalur, konversi, melalui, jenjang, alih, ahli, hi, bisa, halo, ya","Halo Kak, bisa melalui jalur konversi ya🤩 | Halo kak, bisa ya melalui jalur konversi | Hi Kak, bisa ya melalui jalur konversi"
20,Betul Keren Banget,Positif,Apresiasi Konten,Komentar positif audiens terhadap konten yang dibagikan.,50,1.02,60,5,"betul, keren, banget, lucu, congrats, dong, mukanya, asing, seru, kakak",Betul banget Kak😊 | Betul banget Kak🤗 | Betul banget Kak🤩
-1,Mantab Uk Belakang,Netral,Lain-lain / Noise,Komentar umum/noise,40,0.81,10,9,"mantab, uk, belakang, sih, sekali, 2in, oktavian, murah, idolaaa, atuh",Mantab sekali🔥 | Mantab sekali 🔥 | C+
21,Nitip Nitipp Kabarin,Netral,Interaksi Pengguna,Audiens menandai konten untuk dilihat kembali nanti.,36,0.73,7,1,"nitip, nitipp, kabarin, mencari, nitippp, nitiip, monggo, pskolog, penasran, tahu",nitip | nitip | nitip
22,Biayanya Berapa Biaya,Netral,Pertanyaan Biaya Kuliah,Audiens menanyakan informasi mengenai biaya pendaftaran atau kuliah.,22,0.45,35,10,"biayanya, berapa, biaya, dftr, ribet, acaranya, membutuhkan, registrasi, tahu, prof",biayanya brpa? | biayanya brpa? | berapa biayanya
23,Jakarta Selatan Kota,Netral,Informasi Lokasi Kampus,Penjelasan detail alamat fisik kampus di Jakarta Selatan.,21,0.43,11,2,"jakarta, selatan, kota, ragunan, kec, harsono, jl, rm, pas, terletak","Halo Kakak, Kampus UNSIA terletak di Jl. Harsono RM No.1, RT.5/RW.7, Ragunan, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta | Halo Kak, betul. Kampus UNSIA terletak di Jl. Harsono RM No.1, RT.5/RW.7, Ragunan, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12540, Indonesia🤗 | Halo Kak, Kampus UNSIA terletak di Jl. Harsono RM No.1, RT.5/RW.7, Ragunan, Kec. Ps. Minggu, Kota Jakarta Selatan."
24,Ilkom Ieu Balang,Netral,Interaksi Mahasiswa Baru,Sapaan santai antar sesama mahasiswa baru program studi.,17,0.35,2,5,"ilkom, ieu, balang, rene, moyawror, kitu, kinaraaaa, maba, sendal, jare",Eyyowww maba ilkom 🥰 | Balang sendal rene | Balang sendal rene
25,Semangat Wah Tetap,Positif,Dukungan Sosial,Pemberian semangat antar sesama pengguna di kolom komentar.,17,0.35,16,5,"semangat, wah, tetap, berpikir, semangatin, wronged, halimah, diwisuda, puasanya, flushed",semangat kak | smngat ka | semangat kak
26,Bismillah Depan Bismillahirrahmanirrahim,Positif,Harapan Calon Mahasiswa,Ekspresi keinginan audiens untuk mendaftar di tahun depan.,17,0.35,153,13,"bismillah, depan, bismillahirrahmanirrahim, semuaa, sticker, tahun, one, day, alhamdulillah, uhuyyy",bismillah tahun depan!!! | Bismillah tahun ini🙏🏻🙃 | bismillah unsia tahun depan🥺😊
27,Pt Terakreditasi Ban,Positif,Informasi Akreditasi,Penjelasan status akreditasi nasional BAN-PT dan internasional EAHEA.,13,0.26,20,5,"pt, terakreditasi, ban, eahea, baik, sekali, akreditasi, oleh, dengan, internasional","Halo Kak, saat ini UNSIA sudah terakreditasi BAN-PT yaitu baik sekali dan terakreditasi internasional dari EAHEA😊 | Halo Kak, saat ini UNSIA sudah terakreditasi BAN-PT yaitu baik sekali dan terakreditasi internasional dari EAHEA😊 | Halo Kak, UNSIA sudah mendapatkan akreditasi nasional oleh BAN-PT dengan nilai Baik Sekali, dan akreditasi internasional oleh EAHEA ya Kak"
28,Juta 3Jt Serius,Netral,Pertanyaan Biaya Kuliah,Diskusi mengenai nominal biaya pendidikan di Universitas Siber Asia.,12,0.24,3,2,"juta, 3jt, serius, modal, 24jutaan, lembar, hah, double, degree, bertanya",3 jt kak | 3 juta kak | 2 jt kak
