sentiment,business_category,merge_group,review_count_all,review_count_confident,share_confident,avg_score,example_sub_issues
netral,Kualitas Konten,CONTENT_RATING,48,48,1.0,3.0,"Bintang rendah, konten kurang bagus"
netral,Download,DOWNLOAD_LIMIT,42,41,0.9762,3.0,"Tidak bisa download video, Download hanya untuk premium"
netral,Iklan,ADS_EXCESS,42,42,1.0,3.0,Terlalu banyak iklan
netral,Harga Paket,PRICE_INCREASE,36,36,1.0,3.0,Harga paket naik
netral,Iklan,ADS_DURATION,35,35,1.0,3.0,Iklan terlalu lama/skip
netral,Pembelian Paket,PURCHASE_ERROR,19,19,1.0,3.0,Tidak dapat membeli paket
netral,Iklan,ADS_INTRUSIVE,13,13,1.0,3.0,"Iklan mengganggu, durasi panjang"
netral,Performansi,PLAYBACK_ISSUE,13,13,1.0,3.0,Lag dan subtitle bermasalah
netral,Fitur Eksperimen,FEATURE_BUG,12,12,1.0,3.0,Bug posting atau screenshot tidak berfungsi
netral,Spam,NOISE,11,11,1.0,3.0,Ulasan tidak dapat dipahami
netral,Lain-lain / Noise,OVERALL_SATISFACTION,10,0,0.0,3.0,Ulasan umum/noise
positif,Ulasan Umum Positif,POSITIVE_GENERAL,9772,9344,0.9562,4.9,"Komentar singkat pujian, Pujian kualitas aplikasi, Ekspresi kepuasan tinggi"
positif,Konten Film,CONTENT_FILM,1150,1146,0.9965,4.85,Kualitas film dan streaming
positif,,,1135,1112,0.9797,4.79,
positif,Masalah Teknis,PLAYBACK_ERROR,1004,968,0.9641,4.63,Tidak dapat merekam / error playback
positif,Iklan,AD_OVERLOAD,943,932,0.9883,4.58,"Terlalu banyak iklan, Iklan mengganggu dan lag"
positif,Konten TV,CHANNEL_MISSING,830,820,0.988,4.65,Ketiadaan channel RCTI
positif,Lain-lain / Noise,OVERALL_SATISFACTION,234,0,0.0,4.91,Ulasan umum/noise
positif,Masalah Teknis,FEATURE_TRIAL,205,204,0.9951,4.73,Fitur masih dalam percobaan
positif,Fitur TV,TV_STREAMING,176,175,0.9943,4.86,Menonton TV di perangkat lain
positif,Konten Olahraga,SPORTS_LIVE,164,163,0.9939,4.85,Streaming liga sepak bola
