topic_id,topic_name,sentiment,business_category,sub_issue,merge_group,review_count,percentage,average_score,total_thumbs_up,top_keywords,sample_reviews
10,Metode Pembayaran Membatalkan,netral,Sistem Pembayaran,Kesulitan pembatalan pesanan dan kendala pengembalian dana,PAYMENT_ISSUE,36,1.72,3.0,64,"metode, pembayaran, membatalkan, pembatalan, pesanan, bank, bisa, tidak, pembayarannya, salah","gak ada option pembatalan, jadi susah kalo salah teken metode pembayaran harus nunggu lagi batal dari sistem sedangkan stock barangnya terbatas | Setelah update, metode pembayaran eror tidak bisa check out | pengembalian dana nya agak ribet dan lama jika pesanan dibatalkan toko, diaplikasi sebelah dana langsung kembali jika toko membatalkan pesanan, agak mengecewakan apalagi uang pas pasan, jadi ya kita tidak bisa belanja lagi"
11,Bisa Buka Tidak,netral,Aksesibilitas Aplikasi,Aplikasi tidak dapat dibuka atau diakses,APP_CRASH,32,1.53,3.0,4,"bisa, buka, tidak, aplikasi, dibuka, di, mulu, roko, eror, seminggu",tidak bisa masuk aplikasi | Tdk bisa di buka | Tidak bisa d buka yaa
12,Sering Error Kebuka,netral,Performa Aplikasi,Aplikasi sering mengalami error dan force close,PERFORMANCE_BUG,32,1.53,3.0,25,"sering, error, kebuka, force, close, loading, berat, suka, aplikasi, lelet",Aplikasi sering error!!!@ | Aplikasi sering error | aplikasi sering bgt error
13,Qris Pembayaran Tambahkan,netral,Sistem Pembayaran,Permintaan penambahan metode pembayaran QRIS dan penyesuaian COD,PAYMENT_FEATURE,31,1.48,3.0,3,"qris, pembayaran, tambahkan, cash, fitur, tolong, on, cod, sediakan, untuk","Tolong untuk pembayaran adakan QRIS biar gak ribet | Tolong tambahkan pembayaran qris d aplikasi supaya lebih mudah | buat dev nya, tolong dong aturan untuk pembayaran cod (cash on delivery) di ubah, masa harus 50k baru bisa pakai cod"
14,Bayar Mau Kok,netral,Sistem Pembayaran,Kendala saat melakukan checkout dengan metode COD,PAYMENT_ISSUE,31,1.48,3.0,2,"bayar, mau, kok, susah, cod, bisa, ewalet, was, sekarang, banget","Ko sekarang susah banget buat order,, otw ke pembayaran gk jadi"" | kok gk bsa byr COD ???? | Ko ngga bisa COD skrg? Jdi ribet"
15,Delivery Tercover Lokasi,netral,Layanan Pengiriman,Alamat tidak tercover layanan pengiriman padahal sebelumnya bisa,DELIVERY_ISSUE,28,1.34,3.0,8,"delivery, tercover, lokasi, alamat, bisa, titik, tidak, layanan, padahal, sekarang","Ini setelah update kenapa ngga bisa delivery ya, alamat tidak tercover layanan pengiriman kami. Sebelumnya ngga ada masalah tuh. Sayang banget padahal udah pake aplikasi ini dari lama. Kok bisa jadi seperti ini? Trus guna nya aplikasi apa kalo ngga bisa delivery dan tetep harus pickup ke toko nya?? | Tolong di perbaiki kenapa tiba"" alamat saya tidak tercover tidak bisa COD | sebenarnya aplikasi alfagift ini sangat bagus ,memudahkan dalam belanja tapi sekarang agak kecewa karena dari akhir november sampai dengan sekarang tidak bisa pesan pakai delivery, l alasannya alamat tidak tercover , padahal sudah biasa pakai delivery , mohon dibantu solusinya 🙏🙏"
16,Lambat Mudah Sangat,netral,Performa Aplikasi,Aplikasi berjalan lambat atau lemot,PERFORMANCE_BUG,25,1.2,3.0,2,"lambat, mudah, sangat, masuknya, amat, cepat, otp, lengkap, bahkan, mendownload",Aplikasinya lemot sekali.. | Sangat lambat | Lemot aplikasinya
17,Sangat Berbelanja Untuk,netral,Pengalaman Pengguna,Ulasan positif mengenai kemudahan berbelanja,POSITIVE_FEEDBACK,20,0.96,3.0,18,"sangat, berbelanja, untuk, membantu, rumah, bermanfaat, puas, keluar, dan, belanja",Belanja Lebih mudah dan sangat bermanfaat | sangat membantu dan apk yaa mudah dan simpel untuk berbelanja🤗 | belanja sangat puas dan hemat melalui alfagift tidak ribet dan repot² keluar rumah lagi
18,Rokok Beli Bisa,netral,Katalog Produk,Kendala tidak bisa membeli produk rokok,PRODUCT_RESTRICTION,20,0.96,3.0,4,"rokok, beli, bisa, web, kenapa, tidak, produk, iphone, kunci, membeli",knpa beli rokok gk bisa? d web bisa | kenapa di hp saya tidak bisa beli rokok | Kenapa ya tidak bisa membeli rokok di alfagifs mau pake kata kunci apapun tidak bisa
19,Membantu Sangat Langsung,netral,Layanan Pelanggan,Keluhan terkait pelayanan toko dan pengiriman,SERVICE_COMPLAINT,15,0.72,3.0,7,"membantu, sangat, langsung, mood, complain, nya, juga, aplikasinya, terkadang, pegawai","Saya sebenarnya suka sekali dg aplikasi ini Karna sangat membantu, tapi respon dari toko pegawai Alfamart nya bikin bad mood, lama pengiriman dan judesssss, otw uninstall. | Aplikasinya sangat membantu.. tapi untuk pengiriman di PDAM palembang sangat sangaaaaat lama ... Sudah beberapa kali lama banget | Aplikasi bagus, sangat membantu tapi belanja tidak dimasukkan beberapa kali, jadi mau ngecek nota g bisa di aplikasinya, tlg diberi fotur complain, juga ada karyawan flu habis bersin tidak membersihkan diri langsung pegang blanjaan. Apabila ada fitur complain dan bisa menunjuk tokonya pasti lbh baik lagi."
21,Produk Gambar Sesuai,netral,Tampilan Antarmuka Aplikasi,Gambar produk tidak muncul di aplikasi,UI_DISPLAY_ISSUE,13,0.62,3.0,6,"produk, gambar, sesuai, dapat, muncul, tidak, diinginkan, gabungan, aps, berhadiah",gambar produk ga muncul | Gambar produk sering ga muncul | Gambar setiap produk tidak ada
20,Akun Saya Email,netral,Manajemen Akun Pengguna,Akun dinonaktifkan atau tidak terdaftar secara sistem,ACCOUNT_ACCESS_ISSUE,13,0.62,3.0,30,"akun, saya, email, terdaftar, nomor, ingin, alfagift, telah, masih, mengembalikan","Saya ada keluhan untuk aplikadi alfagift. Akun saya ditutup karena apa ya, waktu itu saya dapat WA dr akun alfagift karena ada transaksi mencurigakan, namun saya abaikan saja tidak saya konfirmasi. Ternyata akun saya sekarang sdh ditutup. Bagaimana caranya saya mengembalikan akun saya? | Sebetulnya alfagift sangat membantu, tetapi akun saya muncul notif di nonaktifkan, pas di tanya ke cs via email katanya permintaan melalui aplikasi untuk penggantian nomor handphone ke nomor baru, padahal nomor saya cuma satu dan gak pernah ganti, dan gak ada solusi dari mereka selain buat baru, parahnya lagi akun saya terhubung dengan akun DANA dan sering terjadi pesanan yang bukan dari saya coba bayar pakai akun saya, cek via WhatsApp member saya masih aktif, tolong lah keamanan akunnya | Akun saya ko hilang ya, nomor/email tidak terdaftar di aplikasi sedangkan di toko alfa nya nomor saya masih bisa terdeteksi setiap habis belanja dan juga bukti email bahwa email saya telah terdaftar sebagai akun alfagift masih ada, tp kenapa akun saya tidak ada di aplikasi"
25,Dulu Mencoba Redeem,netral,Pengalaman Pengguna Umum,Pengguna baru mencoba fitur aplikasi,GENERAL_FEEDBACK,11,0.53,3.0,0,"dulu, mencoba, redeem, coba, bintang, gacornya, gerai, cobaain, pemula, seberapa",Coba dl | Coba bintang 3 dulu | Baru pemula cobaain dulu
22,Kurang Satset Responsif,netral,Layanan Pelanggan dan Operasional,Respons layanan pelanggan dan stok barang kurang optimal,SERVICE_QUALITY,11,0.53,3.0,0,"kurang, satset, responsif, pelayanan, ramah, servis, lapangannya, seo, hanya, pencariannya","Stock selalu kosong. Apk kurang membantu | Pelayanan lama, ga bisa satset | kurang satset dari pelayanan chat nya"
23,Baik Diperhatikan Rusak,netral,Pengalaman Pengguna Umum,Saran perbaikan promosi dan kualitas layanan,GENERAL_FEEDBACK,11,0.53,3.0,9,"baik, diperhatikan, rusak, lebih, dikasiin, pernh, semoga, lagi, promonya, diterima",Perbaiki lagi untuk promonya! | Harus lebih baik kedepannya | Ex tolong diperhatikan lagi
24,Ngelag Bagus Cuma,netral,Performa Aplikasi,Aplikasi sering lag dan kendala pemindaian barcode,PERFORMANCE_BUG,11,0.53,3.0,1,"ngelag, bagus, cuma, sih, ujung, parah, keberatan, game2, kilo, ngadem",bagus sih cuma scan barcodenya susah banget ke detect | Bagus sii cuma sering ngelag 😭😭 | Bagus si tapi lama bgt pengirmn nya.
27,Berat Aplikasi Secrol,netral,Performa Aplikasi,Aplikasi terasa berat dan sering mengalami error,PERFORMANCE_BUG,9,0.43,3.0,0,"berat, aplikasi, secrol, asu, ringanin, lemott, cod, pas, aktifkan, ui",Aplikasi lemott | Aplikasi berat..... 😭😭😭😭 | Aplikasi eror
26,Gagal Selalu Pembayaran,netral,Sistem Pembayaran,Kegagalan transaksi pembayaran secara berulang,PAYMENT_FAILURE,9,0.43,3.0,4,"gagal, selalu, pembayaran, terus, mnggu, msukan, permasalahannya, kbuka, trdaptr, pdhlsdh",Aplikasi sudah 1 mnggu ini gbsa di pakai setiap kali mw pembayaran selalu gagal gagal terus🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️ | gagal trs daptrnya pdhl tinggal msuk saja TPI selalu dpt blsan nomor belum trdaptr cape lh aku hpus LG apasn | Untuk kesekian Kalinya stiap mau pembayaran sllu gagal satu hari ini aku coba ga Co.stlhh pilih pmbyran sllu d alihkan.
28,Android Pixel Pro,netral,Kompatibilitas Perangkat,Aplikasi tidak dapat diinstal pada perangkat Android terbaru,COMPATIBILITY_ISSUE,8,0.38,3.0,2,"android, pixel, pro, google, 15, 14, update, a15, 6a, diinstall","Tolong diperbaiki tidak bisa diinstall di google pixel 6a android 14 | Tolong update Supaya bisa dipake di android 14 | tidak bisa dibuka di google pixel, android 15. mungkin bisa diperbaiki."
-1,23R 222 Egefe⁴Er,netral,Lain-lain / Noise,Ulasan umum/noise,OVERALL_SATISFACTION,2,0.1,3.0,0,"23r, 222, egefe⁴er, lumayaannn, ee⁴3r, 3éy, , , , ",2 egefe⁴er 23r ee⁴3r 3éy 222 5 | Lumayaannn
