sentiment,business_category,merge_group,review_count_all,review_count_confident,share_confident,avg_score,example_sub_issues
netral,Manajemen Akun Pengguna,ACCOUNT_ACCESS_ISSUE,13,12,0.9231,3.0,Akun dinonaktifkan atau tidak terdaftar secara sistem
netral,Tampilan Antarmuka Aplikasi,UI_DISPLAY_ISSUE,13,13,1.0,3.0,Gambar produk tidak muncul di aplikasi
netral,Layanan Pelanggan dan Operasional,SERVICE_QUALITY,11,11,1.0,3.0,Respons layanan pelanggan dan stok barang kurang optimal
netral,Sistem Pembayaran,PAYMENT_FAILURE,9,9,1.0,3.0,Kegagalan transaksi pembayaran secara berulang
netral,Kompatibilitas Perangkat,COMPATIBILITY_ISSUE,8,8,1.0,3.0,Aplikasi tidak dapat diinstal pada perangkat Android terbaru
netral,Lain-lain / Noise,OVERALL_SATISFACTION,2,0,0.0,3.0,Ulasan umum/noise
positif,Kepuasan Pengguna,GENERAL_FEEDBACK,28416,27165,0.956,4.99,"Ulasan positif umum terhadap aplikasi, Kepuasan menyeluruh terhadap layanan dan promo, Ulasan positif singkat"
positif,Pengalaman Pengguna,USER_EXPERIENCE,21085,20991,0.9955,4.99,"Kemudahan berbelanja online melalui aplikasi, Aplikasi sangat membantu aktivitas belanja, Kemudahan penggunaan antarmuka aplikasi"
positif,Layanan Pengiriman dan Promo,DELIVERY_PROMO,16299,16224,0.9954,4.99,"Kecepatan pengiriman dan ketersediaan promo, Ketersediaan dan variasi promo menarik"
positif,Pengalaman Pengguna,GENERAL_POSITIVE_FEEDBACK,3014,2994,0.9934,4.99,"Ulasan positif umum mengenai kualitas aplikasi, Aplikasi sangat membantu dan mempermudah proses belanja, Apresiasi terhadap pelayanan Alfamart secara umum"
positif,Masalah Teknis dan Layanan,TECHNICAL_ISSUE,2355,2318,0.9843,4.59,"Kendala login, bug aplikasi, dan keluhan layanan"
positif,Layanan Pelanggan,CUSTOMER_SERVICE,1467,1460,0.9952,4.99,Kualitas pelayanan staf toko yang ramah
positif,Harga dan Promosi,PRICE_SATISFACTION,1456,1446,0.9931,5.0,Kepuasan pelanggan terhadap harga produk yang terjangkau
positif,Layanan Pelanggan,GENERAL_POSITIVE_FEEDBACK,930,926,0.9957,4.99,Harapan dan dukungan positif untuk kemajuan perusahaan
positif,Kualitas Produk,PRODUCT_QUALITY,761,758,0.9961,5.0,Ketersediaan produk lengkap dan kualitas barang yang baik
positif,Logistik dan Pengiriman,DELIVERY_SPEED,632,630,0.9968,4.99,Kecepatan dan ketepatan waktu pengantaran pesanan
positif,Kepuasan Pengguna,POSITIVE_FEEDBACK,250,248,0.992,4.96,"Ulasan positif umum dan kepuasan pelanggan, Pemberian rating bintang lima oleh pengguna, Ulasan positif umum dalam berbagai bahasa"
positif,Kemudahan Penggunaan,USER_CONVENIENCE,205,203,0.9902,5.0,Kemudahan belanja dari rumah dengan layanan praktis
positif,Logistik dan Pengiriman,DELIVERY_SERVICE,168,166,0.9881,4.99,Layanan pengantaran pesanan sampai ke depan rumah
positif,Lain-lain / Noise,OVERALL_SATISFACTION,157,0,0.0,4.98,Ulasan umum/noise
positif,Harga dan Promosi,PROMOTION_FEEDBACK,156,156,1.0,4.95,Harapan peningkatan promo dan cashback yang lebih baik
positif,Ketersediaan Produk,PRODUCT_AVAILABILITY,154,154,1.0,4.99,"Kelengkapan stok dan variasi produk di aplikasi, Satu aplikasi untuk memenuhi semua kebutuhan belanja"
positif,Kemudahan Penggunaan,USER_EXPERIENCE,124,121,0.9758,4.98,"Aplikasi membantu mempermudah proses belanja harian, Kemudahan pengalaman belanja online di aplikasi"
positif,Loyalitas Pelanggan,BRAND_LOYALTY,84,84,1.0,5.0,Sentimen positif dan loyalitas terhadap brand
